iter	Passed	Remaining
1210	41805	61758
1211	41852	61742
1212	41927	61768
1213	41951	61717
1214	41991	61691
1215	42012	61637
1216	42140	61739
1217	42174	61703
1218	42198	61652
1219	42217	61595
1220	42235	61536
1221	42253	61478
1222	42358	61546
1223	42385	61500
1224	42409	61450
1225	42428	61392
1226	42446	61334
1227	42464	61276
1228	42579	61357
1229	42600	61302
1230	42619	61246
1231	42639	61190
1232	42655	61128
1233	42673	61070
1234	42785	61147
1235	42806	61092
1236	42827	61038
1237	42845	60980
1238	42862	60920
1239	42880	60863
1240	42984	60927
1241	43007	60874
1242	43034	60830
1243	43053	60772
1244	43071	60715
1245	43099	60671
1246	43196	60724
1247	43218	60671
1248	43238	60616
1249	43256	60558
1250	43274	60500
1251	43291	60441
1252	43395	60504
1253	43420	60455
1254	43440	60401
1255	43460	60345
1256	43477	60287
1257	43494	60229
1258	43599	60291
1259	43626	60245
1260	43646	60191
1261	43664	60134
1262	43683	60078
1263	43703	60022
1264	43834	60120
1265	43855	60067
1266	43874	60011
1267	43892	59953
1268	43907	59892
1269	44015	59958
1270	44045	59917
1271	44069	59868
1272	44093	59818
1273	44111	59761
1274	44127	59701
1275	44143	59642
1276	44248	59703
1277	44275	59657
1278	44296	59604
1279	44315	59548
1280	44334	59492
1281	44350	59433
1282	44435	59466
1283	44485	59452
1284	44509	59404
1285	44530	59350
1286	44549	59294
1287	44566	59237
1288	44584	59180
1289	44658	59198
1290	44721	59201
1291	44744	59151
1292	44764	59097
1293	44785	59045
1294	44804	58989
1295	44821	58931
1296	44883	58932
1297	44953	58944
1298	44977	58896
1299	44997	58843
1300	45016	58787
1301	45032	58728
1302	45143	58794
1303	45164	58741
1304	45179	58680
1305	45194	58621
1306	45210	58562
1307	45314	58617
1308	45336	58567
1309	45353	58508
1310	45371	58453
1311	45389	58397
1312	45404	58338
1313	45417	58275
1314	45531	58342
1315	45554	58293
1316	45574	58239
1317	45591	58182
1318	45606	58123
1319	45622	58065
1320	45637	58006
1321	45651	57944
1322	45728	57964
1323	45771	57939
1324	45789	57885
1325	45814	57838
1326	45834	57785
1327	45855	57733
1328	45872	57677
1329	45890	57621
1330	45976	57651
1331	45994	57597
1332	46012	57541
1333	46026	57480
1334	46041	57422
1335	46056	57363
1336	46174	57432
1337	46196	57382
1338	46218	57332
1339	46236	57277
1340	46255	57223
1341	46272	57168
1342	46286	57108
1343	46360	57122
1344	46412	57109
1345	46427	57051
1346	46443	56993
1347	46457	56934
1348	46471	56875
1349	46583	56935
1350	46605	56885
1351	46623	56830
1352	46640	56774
1353	46655	56717
1354	46672	56660
1355	46730	56655
1356	46796	56659
1357	46814	56605
1358	46832	56550
1359	46847	56492
1360	46865	56437
1361	46881	56381
1362	46992	56439
1363	47023	56400
1364	47045	56350
1365	47064	56297
1366	47087	56250
1367	47109	56200
1368	47125	56143
1369	47230	56193
1370	47247	56138
1371	47262	56081
1372	47279	56026
1373	47293	55967
1374	47306	55907
1375	47317	55845
1376	47329	55784
1377	47453	55855
1378	47475	55806
1379	47490	55749
1380	47505	55692
1381	47518	55633
1382	47534	55577
1383	47654	55642
1384	47675	55592
1385	47694	55540
1386	47711	55485
1387	47729	55432
1388	47744	55375
1389	47759	55318
1390	47781	55269
1391	47880	55309
1392	47901	55260
1393	47923	55211
1394	47941	55158
1395	48070	55233
1396	48093	55185
1397	48111	55132
1398	48130	55079
1399	48143	55021
1400	48159	54965
1401	48271	55020
1402	48296	54974
1403	48318	54925
1404	48336	54873
1405	48351	54816
1406	48365	54759
1407	48380	54703
1408	48399	54650
1409	48490	54680
1410	48507	54626
1411	48523	54571
1412	48539	54516
1413	48553	54460
1414	48631	54474
1415	48673	54448
1416	48691	54395
1417	48709	54342
1418	48725	54287
1419	48741	54233
1420	48756	54177
1421	48867	54228
1422	48893	54184
1423	48912	54133
1424	48927	54078
1425	48943	54023
1426	48957	53966
1427	48971	53910
1428	49080	53957
1429	49102	53909
1430	49124	53861
1431	49145	53812
1432	49164	53762
1433	49182	53709
1434	49195	53651
1435	49213	53599
1436	49317	53642
1437	49335	53589
1438	49351	53535
1439	49368	53482
1440	49387	53431
1441	49403	53377
1442	49446	53352
1443	49526	53367
1444	49540	53312
1445	49556	53257
1446	49571	53202
1447	49586	53148
1448	49699	53198
1449	49722	53151
1450	49744	53103
1451	49765	53055
1452	49785	53006
1453	49802	52953
1454	49817	52898
1455	49917	52934
1456	49938	52886
1457	49956	52834
1458	49970	52779
1459	49985	52724
1460	50001	52671
1461	50113	52718
1462	50137	52673
1463	50165	52632
1464	50186	52584
1465	50204	52533
1466	50328	52592
1467	50349	52544
1468	50368	52493
1469	50385	52442
1470	50400	52387
1471	50415	52333
1472	50531	52383
1473	50550	52333
1474	50567	52281
1475	50583	52228
1476	50600	52176
1477	50614	52121
1478	50666	52105
1479	50744	52115
1480	50764	52067
1481	50785	52019
1482	50805	51969
1483	50820	51916
1484	50837	51864
1485	50849	51807
1486	50964	51855
1487	50987	51809
1488	51004	51757
1489	51018	51703
1490	51034	51650
1491	51048	51595
1492	51064	51542
1493	51174	51585
1494	51197	51539
1495	51219	51493
1496	51233	51438
